       Z  Symbol      Ka     Ka1     Ka2      Kb     Kb1     Kb2     La1     Lb1     Lb2     Lg1     Lg2     Lg3     Lg4      Ll
      73      Ta  57.106  57.523  56.270  65.556  65.210  66.999   8.145   9.342   9.650  10.892  11.217  11.278  11.645   7.173
      74       W  58.864  59.308  57.973  67.586  67.233  69.090   8.396   9.671   9.960  11.283  11.608  11.674  12.063   7.388
      75      Re  60.655  61.130  59.707  69.659  69.296  71.220   8.651  10.008  10.273  11.684  12.010  12.082  12.492   7.604
      76      Os  62.482  62.990  61.477  71.775  71.404  73.393   8.910  10.354  10.597  12.094  12.422  12.500  12.923   7.822
      77      Ir  64.346  64.885  63.278  73.933  73.549  75.605   9.174  10.706  10.919  12.509  12.842  12.924  13.368   8.046
      78      Pt  66.246  66.821  65.111  76.131  75.736  77.866   9.441  11.069  11.249  12.939  13.270  13.361  13.828   8.268
      79      Au  68.185  68.792  66.980  78.372  77.968  80.165   9.712  11.440  11.583  13.379  13.710  13.809  14.300   8.494
      80      Hg  70.160  70.807  68.894  80.656  80.258  82.526   9.987  11.821  11.922  13.828  14.162  14.265  14.778   8.721
      81      Tl  72.176  72.859  70.820  82.985  82.558  84.904  10.267  12.211  12.270  14.288  14.625  14.737  15.272   8.953
      82      Pb  74.228  74.956  72.794  85.357  84.922  87.343  10.550  12.612  12.621  14.762  15.101  15.218  15.777   9.185
      83      Bi  76.321  77.095  74.805  87.774  87.335  89.833  10.837  13.021  12.978  15.244  15.582  15.710  16.295   9.420
      84      Po  78.460  79.279  76.868  90.243  89.809  92.386  11.129  13.445  13.338  15.740  16.070   0.000   0.000   9.664
      85      At  80.636  81.499  78.956  92.754  92.319  94.976  11.425  13.874  13.705  16.248   0.000   0.000   0.000   0.000
      86      Rn  82.855  83.768  81.080  95.315  94.877  97.615  11.725  14.313  14.077  16.768   0.000   0.000   0.000   0.000
      87      Fr  85.124  86.089  83.243  97.930  97.483 100.305  12.029  14.768  14.448  17.301   0.000   0.000   0.000   0.000
      88      Ra  87.437  88.454  85.446 100.523 100.136 103.048  12.338  15.233  14.839  17.845  18.179  18.357  19.084  10.622
      89      Ac  89.790  90.868  87.861 103.310 102.846 105.838  12.650  15.710  15.227  18.405   0.000   0.000   0.000   0.000
      90      Th  92.190  93.334  89.942 106.077 105.592 108.671  12.967  16.199  15.621  18.977  19.305  19.507  20.292  11.119
      91      Pa  94.643  95.852  92.271 108.906 108.408 111.575  13.288  16.699  16.022  19.559  19.872  20.098  20.882  11.366
      92       U  97.143  98.422  94.649 111.786 111.289 114.549  13.612  17.217  16.425  20.163  20.485  20.713  21.562  11.618
      93      Np  99.693 101.005  97.023 114.720 114.181 117.533  13.942  17.747  16.837  20.774  21.110  21.340  22.200  11.890
      94      Pu 102.295 103.653  99.457 117.716 117.146 120.592  14.276  18.291  17.252  21.401  21.725  21.982  22.891  12.124
      95      Am 104.952 106.351 101.932 120.775 120.163 123.706  14.615  18.849  17.673  22.042  22.361   0.000   0.000  12.384
      96      Cm 107.670 109.098 104.448 123.903 123.235 126.875  14.961  19.393  18.106  22.699   0.000   0.000   0.000   0.000
      97      Bk 110.450 111.595 107.023 127.102 126.362 130.101  15.309  19.971  18.540  23.370   0.000   0.000   0.000   0.000
      98      Cf 113.298 114.745 109.603 130.377 129.544 133.383  15.561  20.562  18.980  24.056   0.000   0.000   0.000   0.000
      99      Es 116.217 117.646 112.244 133.730 132.781 136.724  16.018  21.166  19.425  24.758   0.000   0.000   0.000   0.000
     100      Fm 119.210 120.596 114.926 137.167 136.075 140.122  16.379  21.785  19.879  25.475   0.000   0.000   0.000   0.000
